communityname;state;countyCode;communityCode;fold;population;householdsize;racepctblack;racePctWhite;racePctAsian;racePctHisp;agePct12t21;agePct12t29;agePct16t24;agePct65up;numbUrban;pctUrban;medIncome;pctWWage;pctWFarmSelf;pctWInvInc;pctWSocSec;pctWPubAsst;pctWRetire;medFamInc;perCapInc;whitePerCap;blackPerCap;indianPerCap;AsianPerCap;OtherPerCap;HispPerCap;NumUnderPov;PctPopUnderPov;PctLess9thGrade;PctNotHSGrad;PctBSorMore;PctUnemployed;PctEmploy;PctEmplManu;PctEmplProfServ;PctOccupManu;PctOccupMgmtProf;MalePctDivorce;MalePctNevMarr;FemalePctDiv;TotalPctDiv;PersPerFam;PctFam2Par;PctKids2Par;PctYoungKids2Par;PctTeen2Par;PctWorkMomYoungKids;PctWorkMom;NumKidsBornNeverMar;PctKidsBornNeverMar;NumImmig;PctImmigRecent;PctImmigRec5;PctImmigRec8;PctImmigRec10;PctRecentImmig;PctRecImmig5;PctRecImmig8;PctRecImmig10;PctSpeakEnglOnly;PctNotSpeakEnglWell;PctLargHouseFam;PctLargHouseOccup;PersPerOccupHous;PersPerOwnOccHous;PersPerRentOccHous;PctPersOwnOccup;PctPersDenseHous;PctHousLess3BR;MedNumBR;HousVacant;PctHousOccup;PctHousOwnOcc;PctVacantBoarded;PctVacMore6Mos;MedYrHousBuilt;PctHousNoPhone;PctWOFullPlumb;OwnOccLowQuart;OwnOccMedVal;OwnOccHiQuart;OwnOccQrange;RentLowQ;RentMedian;RentHighQ;RentQrange;MedRent;MedRentPctHousInc;MedOwnCostPctInc;MedOwnCostPctIncNoMtg;NumInShelters;NumStreet;PctForeignBorn;PctBornSameState;PctSameHouse85;PctSameCity85;PctSameState85;LemasSwornFT;LemasSwFTPerPop;LemasSwFTFieldOps;LemasSwFTFieldPerPop;LemasTotalReq;LemasTotReqPerPop;PolicReqPerOffic;PolicPerPop;RacialMatchCommPol;PctPolicWhite;PctPolicBlack;PctPolicHisp;PctPolicAsian;PctPolicMinor;OfficAssgnDrugUnits;NumKindsDrugsSeiz;PolicAveOTWorked;LandArea;PopDens;PctUsePubTrans;PolicCars;PolicOperBudg;LemasPctPolicOnPatr;LemasGangUnitDeploy;LemasPctOfficDrugUn;PolicBudgPerPop;murders;murdPerPop;rapes;rapesPerPop;robberies;robbbPerPop;assaults;assaultPerPop;burglaries;burglPerPop;larcenies;larcPerPop;autoTheft;autoTheftPerPop;arsons;arsonsPerPop;ViolentCrimesPerPop;nonViolPerPop
Lexingtontown;MA;17;35215;8;28974;lut.76;43678,00;92,21;17319,00;44562,00;45597,00;20,23;30560,00;14,14;28974,00;100,00;67389,00;81,46;0,98;75,30;27,52;29983,00;20,15;76410,00;30718,00;31185,00;24231,00;41824,00;25772,00;1273,00;17437,00;747,00;23043,00;41306,00;43561,00;58,73;17593,00;65,07;43571,00;40,42;24139,00;56,51;22737,00;27,82;8,00;15858,00;43649,00;86,72;86,78;94,74;89,38;57,62;69,34;147,00;0,68;3699,00;9,00;13,73;19,14;24,93;42005,00;27395,00;16103,00;43160,00;86,89;47119,00;34001,00;13181,00;43648,00;28887,00;45323,00;85,05;0,41;24,71;3,00;326,00;96,99;82,04;0,00;37,42;1956,00;0,10;0,06;223600,00;282800,00;377300,00;153700,00;634,00;902,00;1001,00;367,00;953,00;26,00;43606,00;43537,00;8,00;0,00;28460,00;55,24;66,07;85,41;89,30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,00;1705,30;33329,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;0,00;0,00;1,00;12114,00;3,00;36404,00;70,00;233,03;288,00;958,75;15,00;49,94;2,00;24259,00;13,32;1248,4
Milfordtown;MA;27;41165;9;25355;lut.71;12420,00;96,16;0,99;43528,00;43598,00;43735,00;31382,00;24777,00;0,00;0,00;38180,00;81,58;0,53;41,65;24,97;35186,00;15,44;45276,00;15980,00;16186,00;14978,00;14250,00;11158,00;5396,00;8797,00;1119,00;16528,00;19268,00;23,28;23,37;28642,00;65,29;27,16;22,68;15,88;27,79;21002,00;30,86;45931,00;36008,00;42430,00;77,77;76,40;87,91;82,35;60,19;71,12;405,00;12086,00;2467,00;17,43;43520,00;26,23;28,37;43647,00;12816,00;20121,00;27791,00;84,35;23802,00;43650,00;43468,00;24869,00;34001,00;46054,00;68,01;12785,00;44,59;3,00;457,00;95,35;62,09;11324,00;24,51;1962,00;18994,00;0,14;137000,00;162000,00;190300,00;53300,00;338,00;493,00;630,00;292,00;553,00;25,00;23,00;43480,00;23,00;0,00;26543,00;68,28;59,71;77,73;89,66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43480,00;1676,40;0,97;NA;NA;NA;NA;0,00;NA;0,00;0,00;2,00;21002,00;2,00;21002,00;0,00;0,00;56,00;211,97;125,00;473,14;75,00;283,89;0,00;0,00;15,14;969,0
Gorhamtown;ME;5;28240;1;11856;03.mar;0,37;98,84;0,40;0,45;43789,00;31,45;43484,00;23224,00;3929,00;33,10;36618,00;83,22;43497,00;51,29;43487,00;20546,00;14,76;40809,00;14049,00;14119,00;10291,00;9093,00;11443,00;18000,00;6328,00;436,00;43589,00;43711,00;13,97;26,00;26785,00;67,68;14,71;28,53;13,59;43493,00;12236,00;32,57;24016,00;43625,00;42064,00;80,48;78,23;94,10;77,23;70,68;78,54;56,00;0,72;306,00;22313,00;43712,00;43599,00;18,95;0,07;0,13;0,36;0,49;95,94;0,24;22706,00;28522,00;28157,00;43710,00;46419,00;83,55;43497,00;38,37;3,00;134,00;96,69;79,89;0,00;42,54;1968,00;42736,00;0,71;94100,00;119800,00;159000,00;64900,00;351,00;452,00;552,00;201,00;526,00;28,00;43608,00;43628,00;0,00;0,00;21217,00;71,76;51,97;79,39;91,47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52,50;225,90;0,88;NA;NA;NA;NA;0,00;NA;0,00;0,00;0,00;0,00;0,00;0,00;2,00;16,72;34,00;284,28;68,00;568,56;8,00;66,89;0,00;0,00;16,72;919,7
Warwicktownship;PA;71;81168;9;11622;lut.93;0,17;98,67;0,69;0,92;43598,00;24,37;19998,00;41852,00;3244,00;27,91;41338,00;88,15;43710,00;61,33;20,83;31413,00;29129,00;43575,00;15044,00;15049,00;16962,00;11571,00;16507,00;0,00;20642,00;310,00;25235,00;28338,00;22,37;19,43;16103,00;74,05;43494,00;19,22;43485,00;24,26;24593,00;21,24;34486,00;11841,00;44256,00;89,58;88,42;97,09;90,48;61,10;74,01;56,00;0,73;170,00;10,00;15,29;15,29;18,82;0,15;0,22;0,22;0,28;95,53;0,21;45017,00;20149,00;33270,00;34731,00;43648,00;84,67;0,96;43607,00;3,00;107,00;97,38;83,48;31778,00;38,32;1974,00;0,91;0,61;84500,00;104700,00;132800,00;48300,00;305,00;391,00;484,00;179,00;492,00;43637,00;43605,00;43535,00;0,00;0,00;16803,00;82,73;57,74;84,51;93,04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43697,00;559,70;0,33;NA;NA;NA;NA;0,00;NA;0,00;0,00;0,00;0,00;0,00;0,00;2,00;16,92;2,00;16,92;58,00;490,78;1,00;17015,00;0,00;0,00;16,92;516,2
Oronotown;ME;19;55540;6;10573;kwi.31;0,61;96,62;27760,00;43525,00;47,94;63,35;55,71;32629,00;9789,00;92,61;27922,00;80,78;0,61;54,28;22,84;43775,00;15,35;42055,00;10248,00;10308,00;4809,00;10920,00;9444,00;8132,00;9776,00;1294,00;21,14;13971,00;12359,00;50,88;31503,00;48,76;43471,00;50,44;46143,00;35,55;11383,00;72,60;43252,00;24929,00;34001,00;71,94;69,72;84,16;77,93;69,41;77,83;178,00;45383,00;497,00;39,03;49,30;56,94;58,55;30317,00;11720,00;24869,00;27426,00;92,18;0,54;24869,00;35827,00;43587,00;25235,00;11355,00;54,38;43619,00;50,58;2,00;234,00;91,29;50,59;0,43;45,73;1957,00;32143,00;0,60;66900,00;90700,00;123000,00;56100,00;301,00;381,00;482,00;181,00;434,00;32,20;43665,00;43657,00;0,00;0,00;43650,00;49,43;43520,00;40,15;72,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43726,00;560,50;43800,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;0,00;0,00;0,00;0,00;2,00;18,87;9,00;84,92;124,00;1170,03;2,00;18,87;1,00;16316,00;18,87;1283,3
Peterstownship;PA;125;59608;4;14467;lut.93;0,41;98,70;0,79;0,49;25538,00;43789,00;17411,00;25082,00;12212,00;84,41;53045,00;85,65;16438,00;65,73;21,34;31048,00;43723,00;56219,00;24417,00;24061,00;15840,00;0,00;55392,00;4082,00;17122,00;358,00;18660,00;45352,00;31594,00;38,97;14305,00;62,27;43539,00;43611,00;20180,00;41,29;22341,00;21,73;34820,00;29677,00;42064,00;91,13;90,59;95,87;89,99;41,02;52,83;49,00;0,46;365,00;23377,00;34060,00;21794,00;17,53;0,04;0,12;0,24;0,44;95,97;0,15;27061,00;13547,00;32540,00;34366,00;47150,00;93,45;0,24;12754,00;3,00;162,00;96,83;91,75;31048,00;33,95;1967,00;0,30;0,22;85200,00;124500,00;171700,00;86500,00;393,00;517,00;620,00;227,00;577,00;43517,00;43636,00;43657,00;0,00;0,00;19025,00;72,69;59,43;73,12;89,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43544,00;712,70;35886,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;0,00;0,00;2,00;13,59;1,00;43683,00;35,00;237,88;167,00;1135,05;19,00;129,14;7,00;47,58;20,39;1549,7
Perrysburgcity;OH;173;62148;3;12551;lut.61;0,64;97,97;0,78;16072,00;14,00;23,66;20729,00;18172,00;12551,00;100,00;44277,00;78,80;0,46;61,05;25,36;12086,00;18,46;53673,00;21223,00;21193,00;20769,00;2400,00;10221,00;52463,00;29565,00;266,00;43801,00;24139,00;19603,00;40,05;35855,00;65,95;43788,00;31,61;43716,00;42,26;24593,00;43578,00;30529,00;13332,00;42795,00;88,38;88,75;98,03;89,89;62,76;66,72;45,00;0,49;241,00;42095,00;32325,00;43604,00;23,65;0,08;0,15;0,37;0,45;96,90;0,15;43527,00;15008,00;22313,00;33635,00;29587,00;80,00;0,46;35,07;3,00;226,00;95,52;71,30;0,00;27,88;1971,00;0,46;0,12;77200,00;97500,00;139800,00;62600,00;278,00;373,00;434,00;156,00;447,00;43638,00;43544,00;43597,00;0,00;0,00;33604,00;70,27;50,30;67,67;88,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43681,00;2599,80;18994,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;0,00;0,00;1,00;44743,00;2,00;14,44;46,00;332,18;305,00;2202,48;15,00;108,32;0,00;0,00;21,66;2643,0
Merrimacktown;NH;11;47540;8;22156;lut.98;0,99;97,65;43556,00;0,97;14,36;43582,00;32448,00;15432,00;1886,00;43593,00;52798,00;92,33;0,67;55,93;43721,00;19756,00;44896,00;55844,00;19129,00;19213,00;16962,00;16054,00;14033,00;15640,00;15089,00;507,00;43526,00;44228,00;30164,00;33,01;43529,00;77,57;30,88;17,41;43685,00;36,21;26085,00;26,72;43717,00;43715,00;43527,00;88,21;87,05;96,11;89,97;68,83;75,15;157,00;43770,00;833,00;43503,00;16346,00;31382,00;24,37;0,27;0,39;0,48;0,92;93,25;0,57;34394,00;43499,00;35462,00;43680,00;16103,00;85,71;0,78;34,54;3,00;476,00;93,99;82,58;24838,00;33,82;1978,00;0,36;0,15;117300,00;139700,00;167300,00;50000,00;588,00;702,00;850,00;262,00;840,00;43489,00;43489,00;43598,00;0,00;0,00;27454,00;34,33;51,02;74,65;77,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,80;655,40;0,40;NA;NA;NA;NA;0,00;NA;0,00;0,00;1,00;17258,00;1,00;17258,00;3,00;43568,00;64,00;285,85;200,00;893,30;14,00;62,53;1,00;17258,00;22,33;1246,2
LowerMakefieldtownship;PA;17;44968;9;25083;lut.93;15342,00;95,27;43499,00;43709,00;36130,00;21,21;43687,00;30864,00;23649,00;94,13;69904,00;90,15;0,66;70,21;16,78;23012,00;43659,00;75732,00;28853,00;28849,00;21489,00;58000,00;31869,00;6130,00;21241,00;451,00;43678,00;43466,00;22767,00;53,32;34731,00;70,48;17,17;29,55;13971,00;49,77;28216,00;23,49;23163,00;26420,00;44621,00;91,63;90,77;98,03;87,78;53,91;63,87;66,00;0,39;1454,00;31107,00;41944,00;16,78;21,46;0,22;0,65;0,97;45292,00;93,03;0,27;35490,00;12114,00;33635,00;43468,00;46419,00;90,42;0,36;17,79;4,00;309,00;96,51;87,68;0,65;26,54;1974,00;0,23;0,09;173100,00;216800,00;274800,00;101700,00;691,00;740,00;897,00;206,00;874,00;43699,00;43488,00;13,00;0,00;0,00;28976,00;36,91;57,42;71,56;77,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43634,00;1349,90;43653,00;NA;NA;NA;NA;0,00;NA;1,00;33664,00;0,00;0,00;1,00;33664,00;4,00;15,68;107,00;419,39;359,00;1407,13;48,00;188,14;0,00;0,00;23,52;2014,7
Scherervilletown;IN;NA;NA;9;19926;lut.69;0,72;97,01;46388,00;20880,00;43659,00;43703,00;29891,00;30103,00;19926,00;100,00;42658,00;89,11;0,76;52,15;43512,00;43525,00;16742,00;48613,00;18411,00;18389,00;9070,00;9188,00;32131,00;13476,00;14517,00;677,00;15766,00;30773,00;27729,00;25,25;43527,00;70,87;24,98;23,85;43721,00;29,56;43473,00;26,72;21064,00;43685,00;43499,00;86,02;85,00;94,38;79,56;54,37;61,61;50,00;0,38;1093,00;43528,00;21702,00;31959,00;13,27;0,22;0,36;0,43;0,73;89,89;28856,00;28185,00;27791,00;24504,00;3,00;43467,00;74,58;12785,00;47,31;3,00;287,00;96,27;66,28;43586,00;16,38;1977,00;43466,00;0,09;80200,00;101600,00;134300,00;54100,00;380,00;425,00;476,00;96,00;493,00;43606,00;43664,00;43566,00;0,00;0,00;18019,00;56,37;42,23;80,13;82,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43568,00;1482,10;44593,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;1,00;43589,00;5,00;20,24;0,00;0,00;85,00;344,09;497,00;2011,90;88,00;356,23;3,00;41974,00;24,29;2724,4
